date,city,month,day_of_week,season,disruption_type,severity,duration_hours,rainfall_mm,temperature_c,aqi,wind_speed_ms,riders_affected,total_payout_inr,actual_value,threshold,has_disruption
2025-12-24,Mumbai,12,2,winter,SocialDisruption,Severe,10.6,2.1,27.2,179.0,2.5,20,32520,11.14,4.0,1
2023-08-25,Kolkata,8,4,monsoon,Flooding,Severe,13.2,10.9,31.1,44.0,8.3,14,21378,10.88,6.0,1
2024-12-31,Mumbai,12,1,winter,ExtremeHeat,Severe,7.6,20.4,46.6,139.0,6.3,12,19440,46.63,48.0,1
2025-12-26,Kolkata,12,4,winter,SocialDisruption,Moderate,9.3,17.0,15.0,172.0,4.0,9,7533,5.71,4.0,1
2023-01-14,Pune,1,5,winter,SevereAQI,Moderate,12.4,2.5,22.3,400.0,4.2,13,10972,400.0,400.0,1
2023-10-31,Hyderabad,10,1,summer,ExtremeHeat,Moderate,8.0,35.0,46.4,110.0,4.8,16,25936,46.41,48.0,1
2025-01-31,Delhi,1,4,winter,SevereAQI,Moderate,2.0,16.1,12.7,431.0,0.5,16,20992,431.19,400.0,1
2025-11-27,Mumbai,11,3,winter,SocialDisruption,Severe,6.5,0.0,26.7,122.0,2.1,15,14265,9.85,4.0,1
2023-07-16,Delhi,7,6,monsoon,HeavyRain,Moderate,5.0,44.0,31.9,119.0,6.1,17,20706,43.97,64.0,1
2024-06-14,Delhi,6,4,monsoon,SocialDisruption,Moderate,3.9,122.8,32.0,82.0,2.4,11,12364,7.57,4.0,1
2023-01-24,Hyderabad,1,1,winter,HeavyRain,Moderate,10.5,88.2,17.1,184.0,5.8,9,5931,88.18,64.0,1
2025-05-14,Pune,5,2,summer,ExtremeHeat,Moderate,11.0,9.1,43.0,85.0,4.6,10,12390,43.0,48.0,1
2024-01-06,Mumbai,1,5,winter,SocialDisruption,Severe,5.8,10.2,22.6,137.0,1.8,17,20842,11.92,4.0,1
2025-03-30,Mumbai,3,6,summer,ExtremeHeat,Moderate,9.3,5.7,46.4,86.0,2.6,18,24480,46.4,48.0,1
2023-03-09,Mumbai,3,3,summer,Flooding,Severe,9.0,11.7,32.3,120.0,3.3,7,5488,11.75,6.0,1
2025-05-24,Mumbai,5,5,summer,ExtremeHeat,Moderate,6.2,18.0,45.2,115.0,3.8,11,12496,45.22,48.0,1
2025-02-03,Delhi,2,0,winter,SocialDisruption,Moderate,4.7,7.2,25.3,419.0,1.0,18,11862,8.81,4.0,1
2024-05-30,Chennai,5,3,summer,SocialDisruption,Extreme,13.9,41.6,36.2,120.0,2.5,14,18732,14.69,4.0,1
2024-07-26,Chennai,7,4,monsoon,HeavyRain,Moderate,3.9,50.0,28.2,75.0,7.4,6,5490,49.99,64.0,1
2024-07-06,Ahmedabad,7,5,monsoon,HeavyRain,Severe,5.8,92.1,30.4,114.0,0.0,14,20804,92.14,64.0,1
2024-12-08,Mumbai,12,6,winter,Flooding,Moderate,4.6,6.3,27.0,210.0,7.5,13,20345,6.26,6.0,1
2024-11-25,Lucknow,11,0,winter,SevereAQI,Extreme,5.9,18.2,13.0,526.0,3.5,15,19650,525.65,400.0,1
2023-03-20,Delhi,3,0,summer,SevereAQI,Moderate,7.5,36.5,39.7,410.0,5.0,14,13818,409.86,400.0,1
2024-05-17,Delhi,5,4,summer,SevereAQI,Severe,11.5,39.8,41.0,453.0,8.0,15,11070,452.92,400.0,1
2024-10-23,Kolkata,10,2,summer,ExtremeHeat,Moderate,3.1,31.1,43.9,108.0,4.3,12,20004,43.88,48.0,1
2024-09-03,Hyderabad,9,1,monsoon,ExtremeHeat,Moderate,7.0,167.8,43.0,49.0,4.2,19,17670,43.0,48.0,1
2023-08-28,Hyderabad,8,0,monsoon,Flooding,Moderate,12.5,7.9,30.6,57.0,6.1,9,6669,7.95,6.0,1
2023-03-28,Pune,3,1,summer,ExtremeHeat,Severe,6.1,15.4,48.7,83.0,0.2,11,11660,48.69,48.0,1
2023-12-22,Delhi,12,4,winter,SevereAQI,Moderate,8.2,15.0,19.2,400.0,6.0,15,11610,400.0,400.0,1
2023-09-29,Delhi,9,4,monsoon,ExtremeHeat,Severe,5.7,52.4,47.2,84.0,6.9,11,9526,47.2,48.0,1
2024-09-10,Jaipur,9,1,monsoon,ExtremeHeat,Moderate,5.3,126.7,46.2,77.0,1.4,13,23153,46.16,48.0,1
2024-06-09,Ahmedabad,6,6,monsoon,HeavyRain,Severe,7.0,91.2,28.6,107.0,3.0,12,12960,91.24,64.0,1
2024-09-28,Mumbai,9,5,monsoon,ExtremeHeat,Moderate,5.6,724.9,44.7,45.0,6.4,12,13620,44.65,48.0,1
2025-09-25,Bangalore,9,3,monsoon,SocialDisruption,Moderate,7.3,218.7,27.3,50.0,2.0,16,27584,6.48,4.0,1
2024-09-11,Mumbai,9,2,monsoon,SocialDisruption,Extreme,8.3,523.3,27.2,59.0,3.0,8,11480,13.47,4.0,1
2025-12-04,Mumbai,12,3,winter,HeavyRain,Severe,3.4,101.6,22.7,152.0,4.2,10,12180,101.56,64.0,1
2023-02-28,Hyderabad,2,1,winter,SocialDisruption,Moderate,3.5,6.5,25.7,166.0,4.1,11,8030,7.97,4.0,1
2025-10-08,Hyderabad,10,2,summer,SevereAQI,Moderate,8.9,4.3,41.5,400.0,3.0,7,5929,400.0,400.0,1
2025-04-13,Kolkata,4,6,summer,SocialDisruption,Severe,7.8,28.8,33.4,71.0,1.3,9,10341,9.98,4.0,1
2025-05-06,Mumbai,5,1,summer,ExtremeHeat,Severe,7.8,7.8,48.8,114.0,2.6,14,24682,48.78,48.0,1
2025-10-09,Kolkata,10,3,summer,Flooding,Moderate,7.3,6.0,32.6,113.0,0.3,14,20314,6.0,6.0,1
2024-01-14,Ahmedabad,1,6,winter,SevereAQI,Moderate,3.1,0.0,15.1,400.0,6.8,12,17832,400.0,400.0,1
2025-03-13,Delhi,3,3,summer,SocialDisruption,Moderate,6.7,23.3,42.7,274.0,0.9,10,12560,8.48,4.0,1
2023-11-13,Mumbai,11,0,winter,SocialDisruption,Moderate,8.1,12.5,23.4,124.0,3.0,23,33212,4.0,4.0,1
2025-08-22,Bangalore,8,4,monsoon,ExtremeHeat,Moderate,8.3,146.0,45.5,30.0,3.7,11,9174,45.49,48.0,1
2024-07-06,Delhi,7,5,monsoon,Flooding,Severe,2.8,10.1,31.1,92.0,3.9,14,12222,10.07,6.0,1
2025-08-02,Ahmedabad,8,5,monsoon,SocialDisruption,Extreme,9.2,82.5,26.7,67.0,4.8,14,12068,17.27,4.0,1
2023-12-16,Hyderabad,12,5,winter,SevereAQI,Moderate,4.8,10.8,22.5,449.0,4.7,14,11284,449.28,400.0,1
2024-06-30,Bangalore,6,6,monsoon,SocialDisruption,Extreme,6.9,164.7,21.6,66.0,4.7,15,26355,13.85,4.0,1
2024-04-30,Lucknow,4,1,summer,SocialDisruption,Moderate,5.0,5.1,41.7,98.0,5.3,14,10724,7.49,4.0,1
2023-06-08,Bangalore,6,3,monsoon,ExtremeHeat,Extreme,7.8,183.2,50.5,72.0,2.1,12,15420,50.53,48.0,1
2023-06-04,Mumbai,6,6,monsoon,Flooding,Moderate,6.0,8.5,28.2,49.0,1.7,11,17556,8.52,6.0,1
2025-11-17,Delhi,11,0,winter,HeavyRain,Moderate,4.6,30.0,14.1,470.0,5.8,13,12324,30.0,64.0,1
2025-10-18,Bangalore,10,5,summer,SocialDisruption,Moderate,2.8,27.6,24.6,71.0,5.9,13,14651,4.0,4.0,1
2023-01-06,Chennai,1,4,winter,SevereAQI,Moderate,6.6,0.0,21.5,400.0,6.3,7,8792,400.0,400.0,1
2024-06-22,Kolkata,6,5,monsoon,SevereAQI,Severe,4.2,381.5,27.7,470.0,4.5,12,18036,470.22,400.0,1
2024-11-24,Chennai,11,6,winter,ExtremeHeat,Severe,7.2,246.8,48.6,137.0,4.6,16,11280,48.58,48.0,1
2024-08-21,Lucknow,8,2,monsoon,HeavyRain,Moderate,4.4,66.0,28.5,86.0,2.8,10,17710,66.0,64.0,1
2024-11-27,Hyderabad,11,2,winter,SevereAQI,Moderate,9.6,21.4,12.4,415.0,5.1,18,20502,414.93,400.0,1
2023-07-10,Hyderabad,7,0,monsoon,HeavyRain,Moderate,6.1,73.0,24.4,62.0,4.2,12,13128,73.03,64.0,1
2024-01-02,Delhi,1,1,winter,SevereAQI,Severe,9.6,20.4,11.5,501.0,4.7,10,8040,500.94,400.0,1
2024-09-24,Mumbai,9,1,monsoon,SocialDisruption,Severe,8.2,655.7,29.9,40.0,7.0,9,12159,12.73,4.0,1
2025-08-25,Pune,8,0,monsoon,HeavyRain,Moderate,2.9,30.0,28.1,57.0,1.3,7,5397,30.0,64.0,1
2025-10-09,Delhi,10,3,summer,ExtremeHeat,Moderate,12.7,29.7,43.7,200.0,1.0,9,13563,43.75,48.0,1
2024-11-25,Mumbai,11,0,winter,HeavyRain,Severe,2.8,120.5,28.3,90.0,4.5,15,15840,120.5,64.0,1
2024-08-07,Delhi,8,2,monsoon,SocialDisruption,Severe,4.3,137.9,32.0,90.0,4.4,11,18106,12.87,4.0,1
2024-07-05,Chennai,7,4,monsoon,SevereAQI,Extreme,10.2,154.6,30.4,510.0,9.1,14,18410,510.26,400.0,1
2023-04-26,Chennai,4,2,summer,ExtremeHeat,Moderate,14.5,3.9,45.8,96.0,4.9,15,18300,45.82,48.0,1
2025-11-26,Delhi,11,2,winter,SevereAQI,Moderate,9.5,13.2,13.4,400.0,1.3,6,5946,400.0,400.0,1
2024-04-03,Chennai,4,2,summer,HeavyRain,Extreme,3.0,130.9,35.9,94.0,4.8,13,20124,130.91,64.0,1
2025-07-30,Delhi,7,2,monsoon,SevereAQI,Moderate,6.4,166.4,35.0,432.0,4.2,16,12160,432.15,400.0,1
2023-04-27,Chennai,4,3,summer,ExtremeHeat,Severe,4.0,63.8,47.4,137.0,6.8,16,15680,47.38,48.0,1
2024-03-21,Chennai,3,3,summer,SevereAQI,Moderate,8.5,16.2,33.9,443.0,3.0,9,8748,442.82,400.0,1
2023-05-11,Hyderabad,5,3,summer,SevereAQI,Extreme,2.8,15.0,40.1,599.0,4.7,10,15290,598.58,400.0,1
2025-01-13,Delhi,1,0,winter,SevereAQI,Extreme,7.5,16.0,12.1,620.0,4.8,9,5526,620.0,400.0,1
2025-07-03,Delhi,7,3,monsoon,HeavyRain,Severe,4.5,101.7,38.0,88.0,2.6,11,14003,101.72,64.0,1
2024-06-29,Mumbai,6,5,monsoon,ExtremeHeat,Severe,4.1,510.4,48.5,51.0,2.1,18,16650,48.47,48.0,1
2024-09-19,Pune,9,3,monsoon,Flooding,Severe,7.5,10.2,26.5,48.0,6.1,16,22384,10.21,6.0,1
2025-10-12,Chennai,10,6,summer,SevereAQI,Severe,13.0,60.1,33.7,496.0,3.9,12,17568,495.84,400.0,1
2024-07-31,Hyderabad,7,2,monsoon,SevereAQI,Moderate,4.7,131.2,27.9,445.0,4.0,9,6021,445.43,400.0,1
2024-05-15,Kolkata,5,2,summer,SocialDisruption,Moderate,5.3,45.4,34.6,73.0,1.4,12,10200,8.4,4.0,1
2023-05-13,Jaipur,5,5,summer,ExtremeHeat,Moderate,9.2,8.0,43.0,220.0,6.6,8,13424,43.0,48.0,1
2024-10-14,Chennai,10,0,summer,Flooding,Moderate,6.7,6.0,37.5,78.0,2.8,17,11220,6.0,6.0,1
2024-05-29,Pune,5,2,summer,ExtremeHeat,Moderate,8.7,19.7,46.4,89.0,4.6,9,14337,46.38,48.0,1
2023-01-15,Mumbai,1,6,winter,SevereAQI,Moderate,4.5,12.2,24.6,444.0,4.8,8,7776,443.79,400.0,1
2024-02-24,Pune,2,5,winter,SevereAQI,Extreme,9.1,6.7,16.2,550.0,7.3,16,24000,550.37,400.0,1
2024-02-19,Delhi,2,0,winter,SevereAQI,Moderate,2.0,11.7,10.4,432.0,0.5,11,10989,432.49,400.0,1
2023-05-03,Mumbai,5,2,summer,ExtremeHeat,Moderate,7.4,15.7,43.8,110.0,5.9,9,8496,43.84,48.0,1
2025-09-20,Delhi,9,5,monsoon,HeavyRain,Severe,6.6,108.6,30.4,70.0,1.9,13,9334,108.59,64.0,1
2025-01-26,Kolkata,1,6,winter,SevereAQI,Extreme,6.3,0.0,17.8,533.0,1.4,7,8967,532.83,400.0,1
2025-06-13,Mumbai,6,4,monsoon,HeavyRain,Moderate,10.5,77.2,29.5,58.0,7.9,7,8939,77.23,64.0,1
2024-07-06,Chennai,7,5,monsoon,Flooding,Moderate,8.5,8.8,28.5,82.0,0.2,21,30618,8.75,6.0,1
2025-12-26,Delhi,12,4,winter,SevereAQI,Extreme,7.4,18.2,18.9,535.0,1.3,9,11079,535.44,400.0,1
2025-08-03,Hyderabad,8,6,monsoon,HeavyRain,Moderate,8.8,43.3,25.9,61.0,3.9,11,17281,43.35,64.0,1
2025-06-06,Mumbai,6,4,monsoon,ExtremeHeat,Moderate,7.5,536.4,43.6,60.0,3.5,14,9086,43.57,48.0,1
2023-10-08,Bangalore,10,6,summer,SocialDisruption,Moderate,8.3,53.0,26.4,70.0,3.2,11,12892,5.83,4.0,1
2023-01-14,Kolkata,1,5,winter,SevereAQI,Moderate,4.7,16.4,17.4,400.0,3.9,6,5394,400.0,400.0,1
2025-11-02,Delhi,11,6,winter,ExtremeHeat,Moderate,2.0,13.0,43.0,378.0,4.4,14,14994,43.0,48.0,1
2025-02-01,Pune,2,5,winter,HeavyRain,Moderate,12.2,47.9,23.3,155.0,7.8,12,9492,47.85,64.0,1
2023-11-14,Kolkata,11,1,winter,ExtremeHeat,Moderate,12.6,18.1,44.1,121.0,0.9,17,13991,44.12,48.0,1
2024-03-05,Chennai,3,1,summer,ExtremeHeat,Severe,4.4,49.0,47.1,104.0,6.5,11,9614,47.1,48.0,1
2023-08-01,Jaipur,8,1,monsoon,SevereAQI,Moderate,11.0,144.9,30.0,442.0,3.0,9,12042,441.5,400.0,1
2025-04-17,Hyderabad,4,3,summer,SevereAQI,Moderate,5.5,6.8,37.6,428.0,3.3,11,12914,427.96,400.0,1
2024-01-03,Bangalore,1,2,winter,Flooding,Severe,4.3,11.0,19.9,74.0,5.1,7,4529,11.02,6.0,1
2024-03-25,Bangalore,3,0,summer,ExtremeHeat,Severe,8.7,42.2,46.9,65.0,5.8,13,14378,46.86,48.0,1
2024-01-02,Pune,1,1,winter,SevereAQI,Severe,9.2,7.1,17.6,469.0,3.6,13,22958,468.8,400.0,1
2025-08-14,Kolkata,8,3,monsoon,HeavyRain,Moderate,5.9,69.6,32.0,76.0,3.3,10,12600,69.56,64.0,1
2025-04-24,Chennai,4,3,summer,HeavyRain,Moderate,5.5,68.0,37.9,134.0,7.4,14,14924,67.98,64.0,1
2024-12-14,Mumbai,12,5,winter,ExtremeHeat,Severe,4.1,1.3,49.2,172.0,6.7,9,13509,49.2,48.0,1
2024-04-14,Delhi,4,6,summer,ExtremeHeat,Moderate,8.0,10.6,43.0,224.0,5.3,7,5257,43.02,48.0,1
2025-04-19,Hyderabad,4,5,summer,SocialDisruption,Moderate,5.5,23.7,35.0,123.0,2.3,10,16960,8.74,4.0,1
2023-11-12,Hyderabad,11,6,winter,SevereAQI,Moderate,4.3,0.0,27.3,441.0,3.6,14,16338,440.82,400.0,1
2023-04-19,Delhi,4,2,summer,HeavyRain,Severe,7.0,107.5,45.5,210.0,1.0,11,7029,107.47,64.0,1
2025-06-20,Mumbai,6,4,monsoon,SocialDisruption,Severe,4.9,533.8,29.5,46.0,9.0,9,12699,11.76,4.0,1
2025-09-08,Mumbai,9,0,monsoon,HeavyRain,Moderate,5.1,64.7,28.0,66.0,3.1,10,14520,64.7,64.0,1
2025-04-03,Mumbai,4,3,summer,Flooding,Severe,7.2,10.4,33.5,95.0,4.9,12,20712,10.4,6.0,1
2025-04-16,Pune,4,2,summer,ExtremeHeat,Moderate,8.2,20.0,43.0,82.0,0.0,14,18648,43.0,48.0,1
2024-12-18,Chennai,12,2,winter,Flooding,Moderate,7.4,7.4,26.4,110.0,1.7,14,17094,7.37,6.0,1
2023-09-07,Chennai,9,3,monsoon,Flooding,Severe,13.9,12.7,31.2,55.0,5.3,12,8700,12.65,6.0,1
2023-02-19,Bangalore,2,6,winter,Flooding,Moderate,3.9,9.4,22.3,46.0,5.0,12,18276,9.4,6.0,1
2024-05-15,Delhi,5,2,summer,SevereAQI,Severe,9.3,29.3,42.5,470.0,0.0,14,17500,469.87,400.0,1
2025-09-24,Mumbai,9,2,monsoon,SocialDisruption,Severe,7.9,702.7,33.3,57.0,1.5,10,13850,12.64,4.0,1
2025-05-10,Kolkata,5,5,summer,HeavyRain,Moderate,10.1,82.8,31.9,98.0,4.7,8,5872,82.76,64.0,1
2025-08-16,Mumbai,8,5,monsoon,Flooding,Moderate,7.6,9.2,30.4,53.0,2.3,16,18752,9.18,6.0,1
2023-08-22,Bangalore,8,1,monsoon,HeavyRain,Extreme,6.3,151.2,25.9,42.0,3.6,8,12712,151.23,64.0,1
2025-10-23,Bangalore,10,3,summer,HeavyRain,Severe,3.5,97.1,29.7,78.0,2.8,9,11349,97.07,64.0,1
2023-11-05,Hyderabad,11,6,winter,SevereAQI,Severe,9.3,13.5,22.6,466.0,4.1,10,9020,465.84,400.0,1
2024-07-01,Mumbai,7,0,monsoon,Flooding,Extreme,4.6,13.8,30.2,34.0,2.7,12,12972,13.84,6.0,1
2024-04-09,Chennai,4,1,summer,HeavyRain,Moderate,6.3,47.3,42.2,59.0,6.2,12,13140,47.32,64.0,1
2025-07-15,Mumbai,7,1,monsoon,HeavyRain,Moderate,10.5,86.6,31.3,59.0,2.9,9,12609,86.57,64.0,1
2024-03-14,Chennai,3,3,summer,ExtremeHeat,Extreme,7.5,67.4,49.8,115.0,2.2,13,8879,49.77,48.0,1
2025-05-26,Delhi,5,0,summer,SocialDisruption,Moderate,7.2,0.0,35.0,179.0,4.9,16,18880,5.79,4.0,1
2025-10-17,Delhi,10,4,summer,ExtremeHeat,Moderate,6.2,14.0,45.6,166.0,4.7,14,21168,45.56,48.0,1
2023-02-26,Mumbai,2,6,winter,SevereAQI,Moderate,6.9,8.7,25.5,400.0,4.5,6,9048,400.0,400.0,1
2024-04-15,Mumbai,4,0,summer,ExtremeHeat,Moderate,6.1,4.3,43.0,99.0,6.4,11,7777,43.0,48.0,1
2024-02-23,Mumbai,2,4,winter,SevereAQI,Moderate,5.8,7.9,21.8,400.0,2.5,12,15204,400.0,400.0,1
2024-07-01,Mumbai,7,0,monsoon,HeavyRain,Severe,2.3,129.4,27.3,78.0,5.2,12,19356,129.4,64.0,1
2025-08-12,Delhi,8,1,monsoon,SevereAQI,Moderate,9.8,188.4,33.5,400.0,2.7,14,17122,400.0,400.0,1
2025-03-12,Chennai,3,2,summer,Flooding,Moderate,12.9,6.0,35.1,115.0,5.7,16,21584,6.0,6.0,1
2025-04-16,Mumbai,4,2,summer,ExtremeHeat,Moderate,8.1,12.9,46.0,125.0,3.4,7,7140,45.98,48.0,1
2024-02-23,Chennai,2,4,winter,HeavyRain,Moderate,8.7,83.2,27.1,118.0,5.7,7,7938,83.22,64.0,1
2025-05-18,Mumbai,5,6,summer,SocialDisruption,Moderate,13.4,6.8,34.6,74.0,1.2,16,22800,8.63,4.0,1
2025-08-28,Delhi,8,3,monsoon,SevereAQI,Severe,6.7,118.3,30.8,503.0,2.9,13,14508,503.09,400.0,1
2025-04-13,Hyderabad,4,6,summer,ExtremeHeat,Moderate,5.3,8.2,45.1,66.0,3.9,14,15484,45.13,48.0,1
2025-04-23,Bangalore,4,2,summer,Flooding,Severe,11.9,9.7,27.4,89.0,3.4,14,18284,9.72,6.0,1
2024-06-08,Delhi,6,5,monsoon,SocialDisruption,Moderate,4.6,81.9,28.6,114.0,8.6,11,16753,5.93,4.0,1
2025-09-03,Kolkata,9,2,monsoon,HeavyRain,Extreme,10.9,150.7,31.6,75.0,6.9,15,17985,150.68,64.0,1
2025-02-16,Delhi,2,6,winter,SevereAQI,Moderate,6.7,5.0,15.7,413.0,5.1,8,7456,412.75,400.0,1
2024-05-23,Jaipur,5,3,summer,SocialDisruption,Moderate,4.5,10.4,37.0,222.0,3.5,7,9842,6.42,4.0,1
2023-09-02,Delhi,9,5,monsoon,SevereAQI,Moderate,7.3,38.7,35.3,400.0,4.8,12,18360,400.0,400.0,1
2025-04-20,Delhi,4,6,summer,ExtremeHeat,Severe,5.9,14.0,47.4,230.0,4.4,9,11817,47.36,48.0,1
2024-07-27,Delhi,7,5,monsoon,SocialDisruption,Severe,9.9,147.5,37.3,64.0,7.1,14,18270,10.91,4.0,1
2023-01-31,Mumbai,1,1,winter,Flooding,Severe,5.5,9.8,25.9,158.0,6.9,14,13118,9.76,6.0,1
2023-12-31,Mumbai,12,6,winter,SocialDisruption,Severe,4.3,21.1,23.2,130.0,5.5,19,29678,9.53,4.0,1
2025-03-22,Pune,3,5,summer,SevereAQI,Severe,8.0,6.1,36.8,492.0,4.1,12,7884,491.62,400.0,1
2025-08-21,Mumbai,8,3,monsoon,HeavyRain,Moderate,2.0,73.0,29.6,92.0,4.3,11,13244,73.01,64.0,1
2023-07-09,Bangalore,7,6,monsoon,ExtremeHeat,Extreme,6.3,115.5,50.4,44.0,5.9,12,19752,50.43,48.0,1
2024-12-26,Hyderabad,12,3,winter,SocialDisruption,Moderate,7.0,5.6,30.8,189.0,3.1,15,23040,6.64,4.0,1
2023-09-28,Delhi,9,3,monsoon,HeavyRain,Moderate,4.7,83.0,33.7,83.0,3.5,16,22064,82.98,64.0,1
2023-06-08,Bangalore,6,3,monsoon,SocialDisruption,Severe,8.9,57.4,22.8,54.0,6.5,15,18705,9.59,4.0,1
2023-04-18,Hyderabad,4,1,summer,SevereAQI,Moderate,5.0,17.0,39.9,400.0,0.6,18,29178,400.0,400.0,1
2024-07-04,Bangalore,7,3,monsoon,HeavyRain,Severe,2.0,96.6,22.1,64.0,4.3,14,19096,96.55,64.0,1
2023-02-07,Delhi,2,1,winter,SevereAQI,Severe,5.3,1.2,12.0,483.0,7.6,9,13743,482.55,400.0,1
2023-06-10,Pune,6,5,monsoon,Flooding,Moderate,8.1,6.0,28.6,46.0,5.2,12,21396,6.0,6.0,1
2023-06-01,Mumbai,6,3,monsoon,SocialDisruption,Moderate,9.9,547.6,29.9,59.0,5.0,15,15180,8.19,4.0,1
2023-11-02,Chennai,11,3,winter,HeavyRain,Moderate,10.7,87.1,29.2,168.0,5.3,9,12717,87.1,64.0,1
2023-06-07,Pune,6,2,monsoon,Flooding,Moderate,14.0,6.0,26.7,63.0,3.2,12,14820,6.0,6.0,1
2025-01-14,Bangalore,1,1,winter,HeavyRain,Severe,6.8,92.9,28.5,97.0,6.5,14,10556,92.91,64.0,1
2025-08-30,Delhi,8,5,monsoon,SocialDisruption,Severe,9.4,99.2,32.5,98.0,8.8,12,7332,11.25,4.0,1
2023-08-10,Kolkata,8,3,monsoon,HeavyRain,Moderate,4.9,31.3,30.0,85.0,3.6,14,22036,31.27,64.0,1
2024-10-07,Chennai,10,0,summer,ExtremeHeat,Moderate,10.7,42.0,43.9,105.0,4.4,10,6180,43.87,48.0,1
2025-07-01,Kolkata,7,1,monsoon,SocialDisruption,Severe,2.0,354.3,31.2,82.0,4.9,13,21606,10.66,4.0,1
2025-05-31,Bangalore,5,5,summer,ExtremeHeat,Severe,6.8,35.0,47.9,70.0,3.9,11,16544,47.91,48.0,1
2025-08-08,Delhi,8,4,monsoon,Flooding,Severe,9.3,10.3,30.9,93.0,0.0,8,9168,10.31,6.0,1
2025-10-22,Bangalore,10,2,summer,ExtremeHeat,Moderate,7.6,31.8,45.2,38.0,5.4,18,29754,45.17,48.0,1
2023-02-27,Hyderabad,2,0,winter,SocialDisruption,Moderate,5.8,21.7,18.4,134.0,5.0,14,21224,9.3,4.0,1
2025-12-30,Delhi,12,1,winter,SevereAQI,Moderate,7.3,24.0,12.6,400.0,1.2,13,17459,400.0,400.0,1
2023-02-14,Mumbai,2,1,winter,SocialDisruption,Severe,7.5,11.9,26.6,148.0,4.9,8,13888,10.47,4.0,1
2024-05-28,Ahmedabad,5,1,summer,ExtremeHeat,Moderate,7.2,8.6,45.9,210.0,4.7,8,6792,45.89,48.0,1
2023-07-16,Delhi,7,6,monsoon,HeavyRain,Extreme,6.6,132.1,30.7,67.0,1.3,16,20704,132.06,64.0,1
2024-01-16,Delhi,1,1,winter,SevereAQI,Extreme,10.1,1.9,13.0,514.0,3.0,15,13740,513.84,400.0,1
2024-06-09,Delhi,6,6,monsoon,HeavyRain,Severe,2.0,92.7,29.8,88.0,4.3,16,18288,92.67,64.0,1
2025-06-18,Bangalore,6,2,monsoon,HeavyRain,Severe,12.9,120.5,22.8,59.0,5.9,8,7304,120.53,64.0,1
2023-01-08,Delhi,1,6,winter,SevereAQI,Moderate,4.7,27.5,19.7,443.0,2.3,10,14080,443.14,400.0,1
2025-10-14,Jaipur,10,1,summer,SocialDisruption,Moderate,5.3,1.5,42.0,191.0,1.4,10,11010,7.46,4.0,1
2024-05-31,Pune,5,4,summer,HeavyRain,Moderate,2.0,88.1,24.3,95.0,3.0,13,22932,88.12,64.0,1
2023-09-12,Hyderabad,9,1,monsoon,SocialDisruption,Moderate,7.6,39.0,28.3,60.0,5.5,6,5448,4.2,4.0,1
2024-07-27,Kolkata,7,5,monsoon,Flooding,Moderate,8.4,6.0,28.9,78.0,4.2,12,8988,6.0,6.0,1
2024-05-28,Chennai,5,1,summer,SocialDisruption,Moderate,9.8,62.1,34.6,149.0,1.5,10,14260,6.48,4.0,1
2024-03-22,Chennai,3,4,summer,SocialDisruption,Moderate,9.6,18.7,33.6,162.0,2.0,16,20320,8.37,4.0,1
2023-02-01,Delhi,2,2,winter,SevereAQI,Extreme,7.9,0.0,24.0,513.0,2.9,16,16800,513.0,400.0,1
2025-07-21,Chennai,7,0,monsoon,ExtremeHeat,Moderate,7.5,58.0,45.7,75.0,6.3,8,6992,45.65,48.0,1
2024-04-24,Delhi,4,2,summer,SocialDisruption,Severe,7.2,18.3,37.2,194.0,3.3,12,19788,11.44,4.0,1
2025-10-25,Mumbai,10,5,summer,ExtremeHeat,Moderate,2.0,29.5,44.0,60.0,3.4,7,5355,43.96,48.0,1
2023-09-12,Bangalore,9,1,monsoon,Flooding,Severe,7.4,10.0,25.6,75.0,7.4,10,13350,10.02,6.0,1
2024-05-20,Chennai,5,0,summer,ExtremeHeat,Moderate,11.0,59.6,46.0,117.0,4.3,6,9330,46.01,48.0,1
2025-04-07,Ahmedabad,4,0,summer,ExtremeHeat,Severe,5.7,2.3,47.2,110.0,4.3,9,8901,47.22,48.0,1
2024-10-04,Chennai,10,4,summer,SevereAQI,Moderate,7.7,15.9,30.1,449.0,4.9,12,9900,448.95,400.0,1
2025-09-05,Bangalore,9,4,monsoon,ExtremeHeat,Extreme,9.4,47.5,52.1,52.0,6.8,9,14985,52.08,48.0,1
2023-06-18,Mumbai,6,6,monsoon,Flooding,Severe,7.4,10.3,24.4,43.0,3.5,11,14806,10.31,6.0,1
2023-09-01,Chennai,9,4,monsoon,SevereAQI,Severe,10.2,32.4,30.3,451.0,6.2,11,17820,450.97,400.0,1
2023-02-06,Jaipur,2,0,winter,ExtremeHeat,Severe,12.7,3.0,46.8,100.0,0.0,12,16440,46.85,48.0,1
2025-12-25,Bangalore,12,3,winter,SocialDisruption,Extreme,9.9,23.5,21.9,88.0,3.2,7,4361,14.35,4.0,1
2025-12-31,Hyderabad,12,2,winter,HeavyRain,Severe,4.8,125.8,25.0,124.0,8.4,12,10332,125.79,64.0,1
2023-10-10,Mumbai,10,1,summer,SevereAQI,Extreme,4.8,13.8,33.5,515.0,3.5,11,10263,515.16,400.0,1
2025-12-13,Hyderabad,12,5,winter,ExtremeHeat,Severe,4.8,4.1,46.8,132.0,0.0,7,9156,46.84,48.0,1
