city,zone_risk_level,platform,avg_weekly_earnings,avg_daily_hours,preferred_shift,vehicle_type,experience_months,historical_claims_count,historical_disruption_freq,season,aqi_avg_30d,rainfall_avg_30d,temperature_avg_30d,risk_score,weekly_premium
Bangalore,1.058,Both,2300.0,10.0,Mixed,Scooter,4,0,3.27,monsoon,46.2,135.6,28.2,36.2,45.7
Bangalore,0.935,Zomato,2000.0,7.7,Evening,Motorcycle,3,1,1.08,monsoon,66.7,36.9,22.9,31.3,42.4
Chennai,1.2,Zomato,2600.0,8.2,Evening,Scooter,30,0,1.66,winter,67.3,108.9,17.6,58.3,68.1
Bangalore,1.031,Both,3400.0,8.9,Evening,Scooter,11,2,2.01,winter,79.3,15.2,22.2,43.5,49.1
Bangalore,0.97,Zomato,2900.0,7.4,Evening,Motorcycle,9,2,1.8,winter,49.5,39.7,20.8,35.2,44.6
Kolkata,0.953,Swiggy,4400.0,6.6,Mixed,Motorcycle,38,0,1.17,winter,265.6,29.1,21.1,62.3,54.8
Hyderabad,0.857,Swiggy,3600.0,9.4,Afternoon,Scooter,5,0,2.41,summer,108.9,37.9,33.3,57.7,47.2
Delhi,1.088,Zomato,3100.0,12.8,Afternoon,Scooter,4,2,2.12,monsoon,66.9,94.2,39.8,99.4,90.0
Kolkata,0.908,Zomato,2500.0,10.8,Mixed,Bicycle,2,2,3.27,winter,188.9,13.2,12.2,79.3,78.1
Pune,0.985,Swiggy,3700.0,11.6,Mixed,Scooter,7,0,2.57,winter,148.5,12.8,22.4,48.6,51.9
Mumbai,1.2,Swiggy,5100.0,6.4,Evening,Motorcycle,4,1,2.79,monsoon,52.6,435.2,26.4,82.4,90.0
Chennai,0.8,Both,2900.0,8.6,Afternoon,Scooter,3,3,2.76,monsoon,73.5,46.9,28.6,68.1,61.3
Delhi,0.988,Zomato,3000.0,8.6,Mixed,Scooter,4,0,1.12,monsoon,86.5,76.0,31.4,84.3,88.2
Hyderabad,0.836,Zomato,2700.0,11.9,Mixed,Motorcycle,18,0,1.66,monsoon,75.5,129.3,27.4,48.3,42.8
Delhi,0.936,Zomato,4400.0,10.8,Afternoon,Motorcycle,9,0,1.69,monsoon,98.7,53.4,33.3,82.5,81.5
Hyderabad,0.983,Zomato,4200.0,8.7,Evening,Scooter,11,2,2.83,monsoon,70.4,42.3,30.0,58.2,63.2
Delhi,0.844,Swiggy,3100.0,6.0,Evening,Motorcycle,14,0,2.08,monsoon,77.4,102.1,36.5,83.0,68.0
Bangalore,1.049,Swiggy,3000.0,6.7,Mixed,Scooter,14,0,1.97,summer,81.9,42.6,27.3,31.8,40.2
Jaipur,1.176,Swiggy,2700.0,10.3,Night,Scooter,26,2,1.92,summer,260.5,9.4,39.5,82.5,75.3
Bangalore,1.04,Zomato,3300.0,8.4,Evening,Motorcycle,9,0,2.83,winter,66.1,0.0,22.5,27.3,41.0
Pune,1.101,Zomato,4300.0,8.8,Mixed,Scooter,40,1,1.18,monsoon,56.8,253.9,26.7,49.4,60.1
Lucknow,1.195,Swiggy,3500.0,10.2,Night,Motorcycle,24,2,2.01,summer,222.7,7.0,44.6,80.8,73.6
Pune,1.073,Swiggy,4500.0,11.3,Evening,Scooter,4,0,3.17,monsoon,50.6,230.5,23.1,56.9,57.6
Mumbai,0.8,Both,2900.0,7.4,Mixed,Motorcycle,13,2,2.39,monsoon,65.5,281.8,28.5,75.0,61.6
Kolkata,1.021,Swiggy,2000.0,10.2,Evening,Scooter,10,0,1.68,winter,217.8,9.8,13.8,67.0,66.6
Mumbai,0.8,Both,5600.0,12.2,Evening,Scooter,7,0,2.2,winter,173.4,7.5,23.5,69.4,57.0
Bangalore,0.913,Zomato,3700.0,11.9,Afternoon,Motorcycle,29,0,0.82,monsoon,55.5,338.2,26.3,30.7,33.3
Pune,0.82,Swiggy,4100.0,7.9,Afternoon,Motorcycle,5,0,1.45,summer,120.6,15.5,32.5,42.6,37.7
Hyderabad,1.033,Zomato,2900.0,9.6,Afternoon,Motorcycle,55,0,1.73,monsoon,30.0,87.7,27.0,40.8,49.1
Chennai,0.892,Zomato,2400.0,10.5,Morning,Scooter,22,0,1.1,monsoon,38.3,44.0,27.0,56.9,53.1
Bangalore,1.036,Both,3600.0,9.0,Night,Scooter,37,0,2.53,winter,81.2,54.4,25.3,25.6,37.3
Kolkata,1.094,Swiggy,2000.0,8.5,Evening,Scooter,3,0,1.04,winter,216.7,5.4,10.3,72.3,76.7
Hyderabad,0.885,Swiggy,3300.0,6.0,Mixed,Scooter,38,0,2.93,summer,68.8,5.3,35.3,47.3,40.6
Bangalore,1.03,Zomato,4300.0,7.3,Night,Scooter,21,1,2.41,monsoon,53.1,119.2,24.7,32.5,44.0
Ahmedabad,0.8,Zomato,3900.0,7.6,Morning,Motorcycle,15,2,1.46,winter,146.9,3.0,26.6,52.6,42.5
Delhi,0.821,Both,3700.0,6.5,Night,Scooter,15,0,1.57,monsoon,71.4,116.8,33.0,79.6,68.5
Mumbai,1.152,Swiggy,4900.0,9.2,Morning,Scooter,6,1,1.97,monsoon,57.0,626.2,30.8,85.3,90.0
Chennai,0.894,Both,3800.0,10.7,Morning,Motorcycle,13,0,2.7,winter,91.5,170.4,27.8,60.4,53.7
Jaipur,0.937,Swiggy,2000.0,8.2,Night,Motorcycle,2,2,1.93,summer,201.9,8.9,43.1,78.1,61.6
Delhi,0.902,Swiggy,3400.0,6.0,Morning,Scooter,6,1,2.78,monsoon,131.7,29.1,32.6,86.0,84.7
Delhi,0.8,Swiggy,5000.0,8.8,Evening,Motorcycle,8,1,1.97,summer,151.7,29.2,35.5,83.3,63.3
Mumbai,0.876,Both,3300.0,9.5,Mixed,Motorcycle,13,1,2.5,winter,158.4,4.8,22.8,69.5,61.2
Pune,0.999,Zomato,5000.0,9.4,Afternoon,Scooter,4,2,3.14,winter,81.5,5.7,23.3,53.0,56.7
Delhi,0.954,Swiggy,4300.0,7.6,Night,Motorcycle,29,0,2.15,summer,187.0,29.5,48.7,87.9,67.7
Bangalore,1.129,Zomato,3200.0,6.6,Afternoon,Motorcycle,60,0,1.14,monsoon,58.2,146.5,24.9,24.3,40.1
Lucknow,0.926,Swiggy,2600.0,10.8,Morning,Motorcycle,7,1,1.83,monsoon,86.0,132.2,26.4,66.3,59.8
Mumbai,0.999,Both,3800.0,9.7,Morning,Bicycle,60,1,3.53,summer,112.4,8.9,33.4,69.5,73.4
Chennai,0.935,Both,4500.0,7.6,Morning,Scooter,2,0,1.58,monsoon,53.4,104.6,29.5,62.1,63.4
Bangalore,1.112,Swiggy,2200.0,6.0,Morning,Motorcycle,9,3,0.52,summer,65.9,57.8,29.6,42.3,51.2
Kolkata,0.828,Zomato,3600.0,9.4,Morning,Scooter,12,3,1.22,summer,107.4,3.1,43.0,77.4,64.4
Delhi,1.057,Both,2000.0,7.2,Mixed,Bicycle,15,1,1.79,summer,257.8,30.7,39.0,98.1,90.0
Bangalore,1.049,Zomato,3200.0,9.8,Mixed,Scooter,3,1,2.37,winter,79.7,27.1,25.8,37.2,45.2
Mumbai,0.901,Swiggy,2200.0,9.3,Afternoon,Motorcycle,25,1,2.9,winter,155.9,4.1,23.6,65.7,59.1
Hyderabad,0.988,Both,3900.0,13.2,Night,Scooter,8,4,1.33,summer,149.4,34.0,42.6,74.9,71.5
Kolkata,1.046,Zomato,2900.0,8.8,Afternoon,Motorcycle,9,2,3.04,monsoon,88.6,357.3,23.5,73.2,80.2
Mumbai,0.917,Swiggy,4400.0,13.0,Night,Scooter,10,1,2.56,monsoon,66.5,519.8,29.3,82.2,81.1
Bangalore,0.914,Both,3100.0,9.2,Afternoon,Motorcycle,6,0,2.83,winter,83.1,11.5,23.7,27.1,35.0
Ahmedabad,0.852,Zomato,3000.0,7.7,Night,Bicycle,7,0,2.77,winter,177.1,5.0,25.8,57.9,47.5
Mumbai,1.2,Swiggy,2200.0,6.9,Afternoon,Motorcycle,13,1,1.68,summer,105.3,8.7,32.9,76.1,87.0
Delhi,0.944,Zomato,3800.0,7.2,Mixed,Motorcycle,6,0,3.42,summer,191.6,23.3,46.0,88.2,76.7
Chennai,0.853,Both,3900.0,9.9,Mixed,Scooter,5,1,3.03,winter,136.0,351.2,33.6,66.4,57.0
Delhi,0.8,Swiggy,4300.0,9.3,Afternoon,Scooter,14,1,2.06,monsoon,96.6,0.0,36.7,82.6,69.4
Delhi,0.904,Both,4000.0,6.0,Morning,Motorcycle,39,1,3.11,monsoon,84.2,61.9,31.8,74.6,66.8
Bangalore,1.032,Swiggy,3800.0,11.0,Afternoon,Motorcycle,30,0,4.09,summer,61.3,53.0,24.9,25.6,35.4
Mumbai,0.969,Swiggy,4000.0,12.0,Afternoon,Scooter,22,1,2.78,winter,115.7,9.7,26.9,71.5,70.9
Bangalore,1.042,Swiggy,4100.0,6.0,Evening,Scooter,4,0,0.46,winter,94.8,22.3,19.1,34.8,43.5
Hyderabad,1.086,Zomato,4200.0,11.0,Evening,Motorcycle,15,1,0.7,winter,125.8,11.9,27.9,57.9,58.2
Chennai,0.982,Zomato,2300.0,12.4,Mixed,Motorcycle,5,1,2.23,summer,53.8,40.1,32.0,63.0,62.6
Mumbai,0.985,Swiggy,3100.0,6.0,Morning,Scooter,7,1,1.28,monsoon,37.2,636.0,30.1,80.5,82.3
Pune,1.188,Swiggy,2200.0,8.1,Evening,Scooter,3,1,1.42,monsoon,64.3,239.9,25.0,55.4,70.8
Mumbai,1.088,Zomato,3800.0,7.3,Morning,Bicycle,21,0,2.2,summer,82.5,29.5,32.5,71.0,80.2
Kolkata,1.046,Swiggy,4800.0,10.9,Evening,Motorcycle,31,1,1.71,winter,231.1,15.1,10.6,66.2,66.7
Delhi,0.959,Both,4200.0,8.2,Night,Motorcycle,12,1,2.69,summer,106.2,15.1,46.2,87.1,80.5
Kolkata,1.081,Both,3000.0,8.1,Mixed,Scooter,9,1,2.79,monsoon,89.2,462.3,28.0,76.1,83.3
Delhi,1.042,Both,3900.0,9.8,Evening,Scooter,13,0,1.18,monsoon,127.3,54.6,33.6,84.6,86.8
Mumbai,1.038,Swiggy,3800.0,12.1,Morning,Scooter,5,0,2.23,summer,91.8,10.6,35.7,72.4,72.2
Bangalore,1.086,Swiggy,3700.0,8.9,Mixed,Scooter,4,1,1.61,summer,57.4,17.7,28.0,40.4,44.3
Mumbai,1.039,Swiggy,2500.0,8.1,Evening,Motorcycle,2,1,2.59,monsoon,56.0,800.0,30.4,77.5,82.2
Delhi,0.818,Zomato,4600.0,8.4,Evening,Motorcycle,31,1,1.83,summer,171.6,9.3,34.5,81.3,59.9
Hyderabad,1.007,Both,2600.0,10.3,Night,Scooter,4,2,2.75,monsoon,51.6,131.3,30.9,62.0,68.5
Pune,0.866,Swiggy,3200.0,6.3,Afternoon,Scooter,28,1,1.95,monsoon,73.7,194.9,25.4,46.7,46.0
Mumbai,1.076,Zomato,4300.0,9.0,Mixed,Scooter,4,1,3.26,summer,97.9,7.9,36.4,76.3,81.7
Pune,0.812,Swiggy,3200.0,7.1,Morning,Motorcycle,6,0,2.22,monsoon,55.4,174.4,21.6,42.1,41.8
Kolkata,0.996,Zomato,3600.0,6.6,Morning,Scooter,22,0,0.78,monsoon,71.5,455.3,27.9,67.2,66.1
Pune,1.007,Swiggy,3600.0,6.0,Mixed,Scooter,4,0,2.45,monsoon,47.5,231.5,23.0,47.6,54.1
Hyderabad,0.862,Zomato,3600.0,8.0,Evening,Motorcycle,3,0,1.76,winter,175.8,5.7,20.4,51.4,47.3
Hyderabad,0.99,Zomato,3600.0,11.2,Mixed,Scooter,6,0,0.38,monsoon,50.0,145.8,32.9,55.8,57.4
Bangalore,1.092,Swiggy,3700.0,6.0,Mixed,Motorcycle,32,2,1.74,monsoon,64.4,128.1,26.3,30.2,45.2
Hyderabad,0.933,Zomato,3600.0,10.1,Mixed,Scooter,9,0,2.44,monsoon,62.9,200.6,29.6,55.1,55.2
Ahmedabad,1.035,Both,2800.0,7.7,Night,Scooter,3,1,2.62,winter,52.0,0.0,25.8,53.0,55.1
Mumbai,1.061,Zomato,2300.0,6.9,Night,Motorcycle,9,0,2.53,winter,152.5,2.9,23.1,68.6,75.4
Delhi,0.872,Zomato,4300.0,9.7,Night,Motorcycle,26,0,1.98,monsoon,56.9,94.0,39.6,79.3,67.2
Mumbai,1.005,Both,4300.0,11.6,Night,Motorcycle,30,1,1.7,winter,172.1,19.0,27.6,71.1,69.1
Jaipur,0.975,Both,3800.0,12.0,Afternoon,Scooter,21,3,1.28,winter,213.1,19.8,17.9,81.3,70.7
Bangalore,0.998,Zomato,3800.0,9.6,Mixed,Scooter,16,0,2.67,winter,78.3,58.7,26.4,31.8,40.2
Hyderabad,0.808,Zomato,2800.0,8.9,Morning,Scooter,18,2,2.56,winter,126.6,4.2,22.6,54.7,46.8
Pune,0.831,Zomato,2000.0,9.8,Evening,Bicycle,6,1,1.53,monsoon,69.6,231.9,23.2,59.1,56.6
Lucknow,1.146,Swiggy,3300.0,14.0,Afternoon,Scooter,23,1,3.18,winter,353.1,8.6,10.7,76.9,75.6
Mumbai,1.091,Swiggy,2000.0,8.4,Night,Scooter,3,0,2.73,summer,72.1,33.6,33.5,67.3,75.3
Kolkata,1.026,Swiggy,3600.0,11.3,Afternoon,Bicycle,12,0,2.74,monsoon,59.7,457.8,31.5,81.3,84.6
Pune,1.108,Zomato,4500.0,7.8,Afternoon,Scooter,2,3,1.98,monsoon,55.4,234.6,24.3,62.1,73.6
Mumbai,0.841,Zomato,3000.0,7.3,Mixed,Scooter,20,0,3.61,monsoon,54.6,278.8,26.4,70.2,62.7
Kolkata,0.973,Swiggy,3100.0,12.5,Evening,Scooter,17,1,1.35,summer,158.6,78.1,34.2,73.6,64.9
Delhi,0.961,Swiggy,2700.0,9.0,Night,Motorcycle,4,0,0.3,summer,254.5,20.1,41.0,90.3,75.1
Chennai,0.908,Zomato,3500.0,9.4,Mixed,Motorcycle,21,1,2.73,summer,106.4,42.3,35.4,61.8,52.9
Bangalore,0.864,Swiggy,3500.0,10.1,Mixed,Scooter,55,0,2.77,monsoon,68.7,189.0,25.4,25.5,34.5
Delhi,1.158,Swiggy,2700.0,7.2,Afternoon,Scooter,17,0,2.68,winter,462.5,15.1,10.1,97.0,90.0
Mumbai,0.924,Swiggy,4200.0,8.1,Morning,Motorcycle,12,1,3.0,monsoon,41.7,537.9,28.7,72.7,74.9
Mumbai,1.054,Both,5700.0,7.7,Mixed,Scooter,6,1,2.93,summer,93.9,11.9,38.2,77.4,82.8
Mumbai,1.04,Both,4500.0,9.7,Afternoon,Motorcycle,29,0,2.97,winter,108.1,0.0,26.0,61.4,64.6
Chennai,1.125,Zomato,3400.0,9.7,Night,Bicycle,16,0,2.32,winter,107.5,210.3,28.8,70.8,79.4
Delhi,1.088,Both,3400.0,7.8,Night,Scooter,8,3,2.32,winter,482.7,0.0,12.2,100.0,90.0
Delhi,0.963,Zomato,3100.0,13.1,Evening,Scooter,21,1,2.12,summer,205.2,31.2,50.0,99.4,82.0
Hyderabad,0.848,Swiggy,3100.0,8.9,Morning,Motorcycle,12,0,2.87,summer,144.8,17.4,35.3,50.0,43.9
Hyderabad,1.107,Both,4300.0,9.2,Evening,Scooter,6,1,1.46,summer,102.2,12.1,40.0,63.2,64.0
Chennai,1.147,Both,4300.0,11.7,Morning,Scooter,3,2,1.9,winter,125.2,79.1,25.7,79.4,85.4
Ahmedabad,1.2,Zomato,2600.0,7.3,Afternoon,Scooter,7,0,1.16,summer,214.9,6.4,44.7,63.7,61.8
Bangalore,1.117,Zomato,3800.0,8.0,Afternoon,Scooter,33,0,2.53,summer,73.7,71.3,28.5,28.3,39.2
Pune,0.923,Zomato,4400.0,9.6,Evening,Motorcycle,9,1,3.32,winter,111.2,3.4,20.7,47.2,49.5
Mumbai,0.939,Zomato,3200.0,6.0,Morning,Scooter,8,1,1.36,summer,38.3,10.5,32.6,70.2,73.7
Hyderabad,0.8,Zomato,3300.0,8.5,Mixed,Scooter,13,0,0.69,summer,79.8,8.7,40.4,51.9,40.0
Lucknow,0.903,Swiggy,4100.0,13.1,Morning,Scooter,7,2,1.96,summer,180.8,15.0,41.2,80.1,60.2
Pune,0.848,Zomato,4100.0,12.7,Mixed,Scooter,6,2,2.25,monsoon,59.3,260.8,26.2,54.7,51.2
Chennai,1.071,Swiggy,3800.0,10.8,Afternoon,Motorcycle,2,2,1.88,summer,68.5,80.9,37.1,69.8,71.4
Chennai,1.115,Both,3700.0,11.4,Evening,Motorcycle,12,1,1.04,winter,101.5,84.7,28.2,69.1,72.1
Delhi,1.2,Swiggy,3800.0,10.0,Mixed,Scooter,4,0,2.89,monsoon,92.7,168.8,32.0,89.6,90.0
Hyderabad,1.2,Zomato,3300.0,8.1,Night,Scooter,2,0,2.27,winter,115.2,17.2,25.7,55.8,70.0
Kolkata,1.03,Swiggy,2600.0,12.3,Morning,Motorcycle,9,2,3.45,summer,112.7,56.9,33.9,73.5,75.2
Lucknow,0.93,Swiggy,2300.0,7.1,Night,Scooter,6,2,2.78,summer,180.9,25.6,42.5,73.4,62.3
Bangalore,0.953,Both,4000.0,10.9,Evening,Scooter,5,3,1.33,summer,65.5,66.3,23.3,41.8,46.2
Mumbai,0.917,Both,3600.0,8.0,Mixed,Scooter,4,0,2.39,summer,137.1,0.0,31.7,64.7,64.6
Chennai,1.2,Zomato,3900.0,8.1,Evening,Scooter,7,0,2.48,winter,116.9,173.3,30.0,70.6,83.1
Mumbai,0.8,Both,2800.0,10.1,Mixed,Scooter,4,1,3.31,summer,68.7,14.1,31.8,65.5,58.2
Delhi,1.194,Both,3600.0,13.1,Evening,Scooter,9,2,1.54,monsoon,100.9,95.1,33.3,100.0,90.0
Delhi,0.888,Zomato,3600.0,11.9,Morning,Motorcycle,11,3,1.0,monsoon,84.0,75.0,33.9,93.4,89.7
Hyderabad,0.953,Swiggy,4500.0,9.7,Evening,Scooter,8,0,2.03,monsoon,83.1,92.1,26.3,59.0,56.0
Mumbai,0.8,Zomato,4200.0,9.1,Mixed,Motorcycle,24,1,1.84,summer,105.5,11.7,34.7,62.6,53.4
Mumbai,1.127,Swiggy,2900.0,10.6,Morning,Scooter,4,0,1.82,winter,120.8,0.0,23.4,72.5,85.2
Mumbai,1.095,Zomato,3900.0,11.7,Afternoon,Motorcycle,4,1,2.27,summer,75.1,11.4,31.7,76.7,80.9
Pune,0.869,Zomato,2900.0,6.0,Morning,Scooter,3,0,0.0,winter,142.7,6.6,20.5,44.0,43.3
Hyderabad,1.133,Swiggy,2000.0,8.7,Mixed,Scooter,20,1,1.1,winter,147.0,11.6,21.9,59.4,64.0
Mumbai,1.11,Zomato,4900.0,6.9,Evening,Scooter,11,0,2.1,summer,103.2,5.6,35.8,71.1,80.0
Mumbai,0.936,Zomato,3200.0,8.6,Night,Scooter,2,2,1.93,winter,140.9,1.4,25.6,76.8,77.4
Chennai,0.8,Swiggy,4300.0,6.5,Mixed,Bicycle,11,0,3.6,winter,94.2,238.2,33.6,69.5,61.5
Delhi,0.974,Swiggy,3000.0,6.0,Mixed,Scooter,30,2,2.01,monsoon,79.3,113.0,27.7,83.4,83.0
Chennai,1.125,Both,2900.0,6.4,Evening,Bicycle,20,0,0.92,winter,130.7,114.1,25.1,67.6,74.8
Bangalore,0.89,Zomato,3100.0,7.9,Mixed,Scooter,14,0,1.44,monsoon,41.8,223.9,26.0,28.2,34.4
Ahmedabad,1.13,Swiggy,3700.0,10.2,Evening,Scooter,11,0,2.79,monsoon,82.5,58.7,33.2,52.7,61.7
Delhi,0.897,Zomato,3600.0,7.4,Mixed,Scooter,13,1,1.8,monsoon,80.0,0.7,34.4,82.1,77.5
Hyderabad,0.989,Zomato,3900.0,7.3,Mixed,Motorcycle,17,1,0.37,monsoon,50.3,179.4,27.2,52.4,55.1
Mumbai,0.912,Zomato,3100.0,9.8,Afternoon,Motorcycle,3,0,2.53,monsoon,71.1,688.2,26.6,73.8,72.1
Jaipur,1.019,Both,3500.0,9.6,Night,Motorcycle,3,2,2.92,monsoon,75.5,120.8,36.6,78.2,70.1
Lucknow,1.099,Both,2800.0,12.4,Night,Motorcycle,24,2,1.91,monsoon,83.5,126.4,32.4,72.6,74.5
Hyderabad,1.196,Swiggy,4700.0,10.9,Night,Bicycle,16,1,1.56,summer,101.8,19.5,33.3,66.5,73.8
Bangalore,1.025,Swiggy,2400.0,6.9,Morning,Scooter,4,1,2.68,monsoon,81.6,99.1,23.4,36.6,51.3
Delhi,0.813,Both,2800.0,7.7,Evening,Scooter,9,0,0.41,winter,377.4,27.3,10.0,90.3,69.2
Kolkata,1.076,Swiggy,3200.0,10.5,Morning,Bicycle,22,0,2.61,monsoon,110.7,448.1,30.8,79.8,82.5
Hyderabad,0.964,Swiggy,5400.0,7.2,Mixed,Motorcycle,28,2,2.03,summer,90.4,23.7,35.8,53.5,50.5
Delhi,0.962,Swiggy,4100.0,8.4,Mixed,Motorcycle,2,1,2.71,monsoon,120.3,54.3,32.7,85.2,86.9
Bangalore,1.013,Swiggy,2800.0,6.0,Evening,Scooter,23,1,1.1,summer,59.7,24.2,29.5,33.2,41.0
Bangalore,1.067,Swiggy,4200.0,6.4,Morning,Motorcycle,9,0,1.95,winter,92.7,62.2,16.7,31.5,42.0
Pune,0.95,Swiggy,3900.0,11.5,Night,Motorcycle,11,0,2.78,summer,118.4,32.0,30.6,43.0,43.8
Hyderabad,1.07,Zomato,3700.0,9.3,Evening,Scooter,14,0,2.44,winter,202.6,7.9,16.5,52.9,55.3
Chennai,1.049,Both,4100.0,7.7,Night,Scooter,9,0,0.0,winter,109.4,268.9,24.5,64.1,67.5
Chennai,1.07,Both,3500.0,8.0,Morning,Motorcycle,22,0,2.68,summer,90.0,58.1,36.0,57.7,58.8
Delhi,1.106,Swiggy,3600.0,12.4,Evening,Motorcycle,9,1,2.85,summer,211.4,24.9,43.9,98.5,90.0
Delhi,0.8,Both,2300.0,7.7,Afternoon,Scooter,18,0,2.34,winter,345.4,13.9,10.4,80.8,66.7
Mumbai,0.953,Zomato,4700.0,9.9,Mixed,Scooter,11,1,2.06,summer,120.3,6.9,35.3,73.2,73.8
Kolkata,0.982,Swiggy,3100.0,10.7,Afternoon,Motorcycle,7,0,2.8,summer,101.5,46.4,32.5,64.1,60.5
Bangalore,0.97,Both,2500.0,11.9,Mixed,Motorcycle,3,0,2.1,summer,52.8,10.6,25.9,34.4,36.9
Bangalore,0.896,Both,3100.0,7.3,Mixed,Scooter,2,0,0.58,summer,63.1,45.8,30.0,29.2,36.7
Delhi,0.922,Both,3100.0,6.2,Evening,Motorcycle,5,0,1.41,monsoon,86.1,58.3,28.7,81.4,78.8
Delhi,1.063,Both,2900.0,6.8,Morning,Scooter,7,2,3.24,winter,418.4,23.1,21.3,100.0,90.0
Chennai,1.055,Swiggy,4100.0,10.5,Afternoon,Motorcycle,8,0,1.81,winter,137.9,236.1,32.1,66.3,67.1
Delhi,1.004,Swiggy,4300.0,13.0,Morning,Scooter,18,1,2.19,summer,201.3,29.8,40.7,92.9,81.6
Mumbai,0.88,Swiggy,2000.0,10.5,Night,Motorcycle,44,0,0.66,monsoon,41.6,437.9,29.0,61.6,58.4
Kolkata,1.103,Both,3100.0,7.7,Night,Motorcycle,6,0,2.43,summer,109.7,84.4,34.2,70.7,69.2
Delhi,1.094,Both,3100.0,11.4,Afternoon,Motorcycle,8,0,2.48,monsoon,118.6,78.4,32.1,87.3,90.0
Bangalore,1.133,Swiggy,3400.0,8.1,Night,Scooter,19,0,3.83,winter,55.4,23.2,23.6,29.8,45.1
Bangalore,0.906,Zomato,4900.0,7.3,Evening,Motorcycle,17,1,2.65,summer,68.1,59.0,28.4,29.9,35.6
Kolkata,1.2,Both,2800.0,8.3,Mixed,Scooter,19,0,2.77,monsoon,68.7,573.3,29.8,73.7,79.6
Delhi,1.026,Zomato,4700.0,7.8,Morning,Bicycle,4,2,0.54,summer,234.5,17.2,44.8,100.0,90.0
Kolkata,0.909,Swiggy,3400.0,7.6,Morning,Motorcycle,9,0,1.55,summer,134.0,46.6,26.9,61.1,56.8
Ahmedabad,1.2,Zomato,4800.0,11.4,Mixed,Scooter,2,1,3.69,monsoon,82.4,146.7,31.1,65.3,69.4
Hyderabad,1.09,Zomato,3300.0,8.0,Afternoon,Scooter,11,0,2.72,monsoon,75.1,30.3,26.6,52.9,63.0
Bangalore,1.024,Zomato,3200.0,6.0,Mixed,Scooter,2,1,2.39,monsoon,59.9,204.6,26.4,40.2,48.7
Hyderabad,1.039,Zomato,3500.0,10.2,Mixed,Bicycle,11,1,3.46,summer,113.9,22.1,38.0,66.2,67.2
Bangalore,1.154,Zomato,4500.0,7.1,Morning,Scooter,10,1,1.33,summer,53.2,1.4,28.9,35.0,46.6
Bangalore,1.03,Zomato,3600.0,7.2,Evening,Motorcycle,5,1,2.31,winter,85.5,25.6,17.1,37.1,43.2
Bangalore,0.8,Both,3700.0,10.4,Night,Scooter,2,1,2.39,monsoon,62.6,164.0,25.1,33.6,37.6
Delhi,0.998,Both,4000.0,7.5,Morning,Scooter,33,2,1.9,monsoon,132.3,1.6,30.9,83.8,85.1
Mumbai,1.108,Zomato,2800.0,8.1,Mixed,Scooter,7,0,0.87,monsoon,58.9,694.6,25.7,80.4,89.2
Bangalore,0.994,Swiggy,3800.0,9.1,Morning,Scooter,15,1,3.2,winter,120.7,40.7,21.7,34.9,42.3
Mumbai,0.882,Both,3000.0,8.4,Morning,Scooter,12,0,2.08,summer,87.6,8.5,35.1,69.7,62.5
Bangalore,0.996,Both,4700.0,8.1,Evening,Scooter,5,1,2.36,monsoon,42.2,200.7,23.2,35.6,45.5
Chennai,1.104,Both,3800.0,6.0,Afternoon,Motorcycle,17,1,1.45,summer,85.9,101.9,37.3,66.8,65.1
Ahmedabad,1.153,Swiggy,4100.0,8.7,Night,Motorcycle,10,1,1.42,monsoon,94.3,142.8,27.2,59.9,62.6
Mumbai,0.867,Zomato,2000.0,12.2,Afternoon,Scooter,3,1,1.74,winter,200.6,0.0,22.7,75.6,69.3
Chennai,0.859,Zomato,4100.0,10.3,Afternoon,Bicycle,7,0,1.82,summer,93.5,57.8,36.7,69.6,57.8
Bangalore,0.993,Both,3400.0,8.2,Mixed,Scooter,6,0,2.9,winter,78.7,37.8,19.1,34.1,44.6
Mumbai,0.917,Zomato,2400.0,9.9,Morning,Scooter,4,2,2.31,winter,103.1,11.6,27.1,69.0,73.8
Delhi,0.931,Swiggy,3600.0,10.3,Evening,Scooter,40,0,1.21,winter,506.8,5.7,18.5,92.5,73.1
Mumbai,0.968,Swiggy,2300.0,7.3,Morning,Scooter,3,1,0.8,winter,139.5,14.0,28.1,72.7,74.9
Delhi,1.092,Both,4000.0,11.5,Morning,Motorcycle,3,2,2.75,monsoon,99.2,82.7,35.9,95.7,90.0
Delhi,0.899,Both,4600.0,9.3,Afternoon,Scooter,17,0,2.84,monsoon,107.9,67.2,29.0,81.0,71.2
Bangalore,0.86,Swiggy,2100.0,8.4,Afternoon,Motorcycle,36,2,1.76,summer,63.7,69.3,30.3,24.0,31.9
Bangalore,0.911,Swiggy,3500.0,12.2,Evening,Scooter,2,2,1.5,summer,51.3,21.0,30.5,41.7,41.1
Mumbai,0.818,Swiggy,3400.0,6.0,Evening,Scooter,2,0,2.04,summer,67.0,16.1,31.8,65.3,60.6
Mumbai,1.006,Both,2000.0,6.6,Morning,Motorcycle,19,0,2.05,monsoon,86.3,427.5,31.3,68.3,70.9
Mumbai,1.013,Zomato,4200.0,10.3,Morning,Scooter,23,0,2.22,monsoon,64.8,550.3,25.1,75.1,74.7
Chennai,1.121,Both,4000.0,10.3,Morning,Bicycle,6,0,2.86,monsoon,32.3,79.6,31.5,72.2,86.8
